seriesId,seriesName,metricFamily,metricLabel,sourceRowsOrSessions,parityStatus,uiUse,caveat
series_euroformula_open,Euroformula Open,result_conversion,Result conversion across all series,17,production_safe,Use in Career Analytics Lab.,Use percentiles alongside raw finish because field sizes and formats vary by series.
series_euroformula_open,Euroformula Open,qualifying_conversion,Qualifying-to-race conversion where qualifying rows exist,6,production_safe,Use in Career Analytics Lab.,Qualifying rows exist; display session-format and group caveats where applicable.
series_euroformula_open,Euroformula Open,track_venue_history,Track type and venue history,6,production_safe,Use in Career Analytics Lab.,Venue and track-type coverage comes from canonical event and track metadata.
series_euroformula_open,Euroformula Open,weather_context,Weather or conditions where source-backed,0,unavailable,Show unavailable or omit from comparison charts.,No trustworthy source-backed weather rows currently available for this series.
series_euroformula_open,Euroformula Open,lap_shape,Lap-shape where lap samples exist,0,unavailable,Show unavailable or omit from comparison charts.,No lap-sample rows currently available for Bryce in this series.
series_euroformula_open,Euroformula Open,team_teammate_context,Team and teammate context where field rows support it,160,source_bounded_partial,Use with coverage badge and denominators.,"Full-field results support descriptive team/teammate context, not engineering root-cause attribution."
series_euroformula_open,Euroformula Open,section_pace,Section pace where official section metrics exist,0,unavailable,Show unavailable or omit from comparison charts.,No official section-metric rows currently available for this series.
series_formula_ford,Formula Ford,result_conversion,Result conversion across all series,15,production_safe,Use in Career Analytics Lab.,Use percentiles alongside raw finish because field sizes and formats vary by series.
series_formula_ford,Formula Ford,qualifying_conversion,Qualifying-to-race conversion where qualifying rows exist,0,unavailable_without_guessing,Show unavailable or omit from comparison charts.,No qualifying rows currently support a start-to-race conversion model for this series.
series_formula_ford,Formula Ford,track_venue_history,Track type and venue history,4,production_safe,Use in Career Analytics Lab.,Venue and track-type coverage comes from canonical event and track metadata.
series_formula_ford,Formula Ford,weather_context,Weather or conditions where source-backed,46,source_bounded_partial,Use with coverage badge and denominators.,Use as ambient/session context with source and confidence labels; do not claim causal weather effects.
series_formula_ford,Formula Ford,lap_shape,Lap-shape where lap samples exist,282,source_bounded_partial,Use with coverage badge and denominators.,Lap row grains differ by source family; use within-series first and show coverage denominators.
series_formula_ford,Formula Ford,team_teammate_context,Team and teammate context where field rows support it,1070,source_bounded_partial,Use with coverage badge and denominators.,"Full-field results support descriptive team/teammate context, not engineering root-cause attribution."
series_formula_ford,Formula Ford,section_pace,Section pace where official section metrics exist,0,unavailable,Show unavailable or omit from comparison charts.,No official section-metric rows currently available for this series.
series_froc,Castrol Toyota Formula Regional Oceania Championship,result_conversion,Result conversion across all series,6,production_safe,Use in Career Analytics Lab.,Use percentiles alongside raw finish because field sizes and formats vary by series.
series_froc,Castrol Toyota Formula Regional Oceania Championship,qualifying_conversion,Qualifying-to-race conversion where qualifying rows exist,0,unavailable_without_guessing,Show unavailable or omit from comparison charts.,No qualifying rows currently support a start-to-race conversion model for this series.
series_froc,Castrol Toyota Formula Regional Oceania Championship,track_venue_history,Track type and venue history,2,production_safe,Use in Career Analytics Lab.,Venue and track-type coverage comes from canonical event and track metadata.
series_froc,Castrol Toyota Formula Regional Oceania Championship,weather_context,Weather or conditions where source-backed,0,unavailable,Show unavailable or omit from comparison charts.,No trustworthy source-backed weather rows currently available for this series.
series_froc,Castrol Toyota Formula Regional Oceania Championship,lap_shape,Lap-shape where lap samples exist,0,unavailable,Show unavailable or omit from comparison charts.,No lap-sample rows currently available for Bryce in this series.
series_froc,Castrol Toyota Formula Regional Oceania Championship,team_teammate_context,Team and teammate context where field rows support it,812,source_bounded_partial,Use with coverage badge and denominators.,"Full-field results support descriptive team/teammate context, not engineering root-cause attribution."
series_froc,Castrol Toyota Formula Regional Oceania Championship,section_pace,Section pace where official section metrics exist,0,unavailable,Show unavailable or omit from comparison charts.,No official section-metric rows currently available for this series.
series_frp_f1600,F1600 Championship Series,result_conversion,Result conversion across all series,20,production_safe,Use in Career Analytics Lab.,Use percentiles alongside raw finish because field sizes and formats vary by series.
series_frp_f1600,F1600 Championship Series,qualifying_conversion,Qualifying-to-race conversion where qualifying rows exist,0,unavailable_without_guessing,Show unavailable or omit from comparison charts.,No qualifying rows currently support a start-to-race conversion model for this series.
series_frp_f1600,F1600 Championship Series,track_venue_history,Track type and venue history,7,production_safe,Use in Career Analytics Lab.,Venue and track-type coverage comes from canonical event and track metadata.
series_frp_f1600,F1600 Championship Series,weather_context,Weather or conditions where source-backed,0,unavailable,Show unavailable or omit from comparison charts.,No trustworthy source-backed weather rows currently available for this series.
series_frp_f1600,F1600 Championship Series,lap_shape,Lap-shape where lap samples exist,0,unavailable,Show unavailable or omit from comparison charts.,No lap-sample rows currently available for Bryce in this series.
series_frp_f1600,F1600 Championship Series,team_teammate_context,Team and teammate context where field rows support it,527,source_bounded_partial,Use with coverage badge and denominators.,"Full-field results support descriptive team/teammate context, not engineering root-cause attribution."
series_frp_f1600,F1600 Championship Series,section_pace,Section pace where official section metrics exist,0,unavailable,Show unavailable or omit from comparison charts.,No official section-metric rows currently available for this series.
series_gb3,GB3 Championship,result_conversion,Result conversion across all series,42,production_safe,Use in Career Analytics Lab.,Use percentiles alongside raw finish because field sizes and formats vary by series.
series_gb3,GB3 Championship,qualifying_conversion,Qualifying-to-race conversion where qualifying rows exist,14,production_safe,Use in Career Analytics Lab.,Qualifying rows exist; display session-format and group caveats where applicable.
series_gb3,GB3 Championship,track_venue_history,Track type and venue history,6,production_safe,Use in Career Analytics Lab.,Venue and track-type coverage comes from canonical event and track metadata.
series_gb3,GB3 Championship,weather_context,Weather or conditions where source-backed,39,source_bounded_partial,Use with coverage badge and denominators.,Use as ambient/session context with source and confidence labels; do not claim causal weather effects.
series_gb3,GB3 Championship,lap_shape,Lap-shape where lap samples exist,0,unavailable,Show unavailable or omit from comparison charts.,No lap-sample rows currently available for Bryce in this series.
series_gb3,GB3 Championship,team_teammate_context,Team and teammate context where field rows support it,2190,source_bounded_partial,Use with coverage badge and denominators.,"Full-field results support descriptive team/teammate context, not engineering root-cause attribution."
series_gb3,GB3 Championship,section_pace,Section pace where official section metrics exist,0,unavailable,Show unavailable or omit from comparison charts.,No official section-metric rows currently available for this series.
series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,result_conversion,Result conversion across all series,1,production_safe,Use in Career Analytics Lab.,Use percentiles alongside raw finish because field sizes and formats vary by series.
series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,qualifying_conversion,Qualifying-to-race conversion where qualifying rows exist,0,unavailable_without_guessing,Show unavailable or omit from comparison charts.,No qualifying rows currently support a start-to-race conversion model for this series.
series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,track_venue_history,Track type and venue history,1,production_safe,Use in Career Analytics Lab.,Venue and track-type coverage comes from canonical event and track metadata.
series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,weather_context,Weather or conditions where source-backed,1,source_bounded_partial,Use with coverage badge and denominators.,Use as ambient/session context with source and confidence labels; do not claim causal weather effects.
series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,lap_shape,Lap-shape where lap samples exist,142,source_bounded_partial,Use with coverage badge and denominators.,Lap row grains differ by source family; use within-series first and show coverage denominators.
series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,team_teammate_context,Team and teammate context where field rows support it,235,source_bounded_partial,Use with coverage badge and denominators.,"Full-field results support descriptive team/teammate context, not engineering root-cause attribution."
series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,section_pace,Section pace where official section metrics exist,0,unavailable,Show unavailable or omit from comparison charts.,No official section-metric rows currently available for this series.
series_indy_nxt,INDY NXT,result_conversion,Result conversion across all series,45,production_safe,Use in Career Analytics Lab.,Use percentiles alongside raw finish because field sizes and formats vary by series.
series_indy_nxt,INDY NXT,qualifying_conversion,Qualifying-to-race conversion where qualifying rows exist,77,production_safe,Use in Career Analytics Lab.,Qualifying rows exist; display session-format and group caveats where applicable.
series_indy_nxt,INDY NXT,track_venue_history,Track type and venue history,13,production_safe,Use in Career Analytics Lab.,Venue and track-type coverage comes from canonical event and track metadata.
series_indy_nxt,INDY NXT,weather_context,Weather or conditions where source-backed,115,source_bounded_partial,Use with coverage badge and denominators.,INDY NXT weather is modeled non-official; context only.
series_indy_nxt,INDY NXT,lap_shape,Lap-shape where lap samples exist,1748,source_bounded_partial,Use with coverage badge and denominators.,Lap row grains differ by source family; use within-series first and show coverage denominators.
series_indy_nxt,INDY NXT,team_teammate_context,Team and teammate context where field rows support it,3557,source_bounded_partial,Use with coverage badge and denominators.,"Full-field results support descriptive team/teammate context, not engineering root-cause attribution."
series_indy_nxt,INDY NXT,section_pace,Section pace where official section metrics exist,357,source_bounded_partial,Use with coverage badge and denominators.,Section metrics are currently INDY NXT-only and need denominator badges for sparse sessions.
