seriesId,seriesName,seasonYear,sessionType,collection,rowCount,utilizationStatus,metricFamily,currentAnalyticsArtifacts,currentUiOrContextExposure,unusedOrUnderusedSignal,sourceCaveat
global,global,all,article,mediaAssets,3,productized_context_pack,narrative_context,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/media_narrative_index.csv;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json,Productized as a media narrative index and event/session context timeline with rights-status fields preserved.,Media rows are now source-indexed for narrative and source-drawer use; UI must still apply rights-status display rules.,"Narrative evidence should support, not override, official result data."
global,global,all,driver_dimension,drivers,555,productized_context_pack,field_context,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/driver_cohort_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/imsa_car85_codriver_pace.csv,"Productized as driver cohort context with Bryce, teammate-overlap, shared-field, competitor/co-driver, and identity-only labels.","Driver identity is now queryable for cohorts, teammate overlap, shared fields, and source-bounded Career Lab filtering.","Driver rows mix Bryce, teammates, opponents, and one-off sports-car co-drivers; avoid unsupported cross-series driver ratings."
global,global,all,gaps,gaps,9,productized_context_pack,source_confidence,analysis/context-event-narrative-layer/output/gap_source_boundary_context.csv;analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/ui-data-package/ui-data-package.json,Source Ops unavailable/deferred states plus context-pack-backed source-boundary rows.,All canonical gap rows are now productized as explicit source-boundary truth with row-level IDs and source states preserved.,"A gap is a source-state fact, not a data failure by itself."
global,global,all,pdf,mediaAssets,2,productized_context_pack,narrative_context,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/media_narrative_index.csv;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json,Productized as a media narrative index and event/session context timeline with rights-status fields preserved.,Media rows are now source-indexed for narrative and source-drawer use; UI must still apply rights-status display rules.,"Narrative evidence should support, not override, official result data."
global,global,all,session,derivedMetrics,7,productized_context_pack,section_pace,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/derived_metric_context.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/indy_nxt_feature_matrix.csv;analysis/indy-nxt-section-lap-deep-dive/output/context-packs/indy-nxt-section-lap-context.json;analysis/indy-nxt-section-lap-deep-dive/output/INDY_NXT_SECTION_LAP_DEEP_DIVE.md;analysis/indy-nxt-race-lap-section-enhancement/output/context-packs/indy-nxt-race-lap-section-context.json;analysis/indy-nxt-race-lap-section-enhancement/output/INDY_NXT_RACE_LAP_SECTION_ENHANCEMENT.md,Productized through section-lap/race-section context packs and a full derived metric context index covering the 7 derivedMetric rows represented by this audit row.,All canonical derivedMetric rows are now addressable; deeper interpretation remains in the specialized section/race-lap lanes.,One INDY NXT Section Results holdout is source-corrupt; sparse denominators need suppression or badges.
global,global,all,sourceEvidence,sourceEvidence,1199,productized_context_pack,source_confidence,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/source_evidence_lineage.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md,"Productized as source-evidence lineage with source type, confidence tier, parser, raw-artifact, and license fields.",Source-family quality is now queryable; remaining value is visual/source-ops presentation.,"Source evidence is provenance metadata, not performance signal by itself."
global,global,all,team_dimension,teams,75,productized_context_pack,team_teammate_context,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/team_dimension_context.csv;analysis/career-dimension-context-layer/output/team_era_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json,"Productized as team dimension and team-era rows with car, driver, qualifying, result, and Bryce-observed counts.",Team/era context is now addressable for debrief and Career Lab stories with source-family guards.,No engineering setup or root-cause data; keep descriptive.
global,global,all,track_dimension,tracks,42,productized_context_pack,track_venue_history,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/track_venue_context.csv;analysis/career-dimension-context-layer/output/track_archetype_analog_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/predictive-race-intelligence/output/career_prior_matrix.csv;analysis/predictive-race-intelligence/output/context-packs/upcoming-events;analysis/indy-nxt-section-lap-deep-dive/output/context-packs/road-america-prep-context.json,"Productized as track venue context and metadata-based analog rows, including Road America analogs.","Track configuration, corner count, length, weather readiness, repeat venue history, and analogs are now queryable.",Track metadata cannot substitute for telemetry or setup notes.
series_euroformula_open,Euroformula Open,2023,car,cars,18,productized_context_pack,car_context,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/car_entrant_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json;analysis/imsa-daytona-stint-class-pace/output/imsa_car85_codriver_pace.csv,"Productized as car/entrant context with team, series, season, class, usage rows, and Bryce-observed flags.","Car number, entrant, class, and co-driver/usage context are now addressable across canonical cars.",Car metadata is not setup telemetry.
series_euroformula_open,Euroformula Open,2023,event,events,7,productized_context_pack,event_context,analysis/predictive-race-intelligence/output/context-packs/upcoming-events;analysis/predictive-race-intelligence/output/context-packs/context-pack-manifest.json;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json,Upcoming event and race-debrief context packs.,Event rows are mostly routing; value comes through linked sessions/results/laps.,Future schedule rows lack result/lap truth until sessions complete.
