auditId,seriesId,seriesName,seasonYear,sessionType,dataCollection,metricFamily,sourceFamily,rowCount,currentAnalyticsArtifacts,currentUiOrContextExposure,unusedOrUnderusedSignal,proposedAnalysis,valueScore,confidence,sourceCaveat,utilizationStatus,rationale
collection:drivers,global,global,all,collection,drivers,field_context,canonical_dataset,555,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/driver_cohort_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/imsa_car85_codriver_pace.csv,"Productized as driver cohort context with Bryce, teammate-overlap, shared-field, competitor/co-driver, and identity-only labels.","Driver identity is now queryable for cohorts, teammate overlap, shared fields, and source-bounded Career Lab filtering.",Use generated driver cohort context with denominator badges and no causal driver-strength claims.,7.0,source_backed,"Driver rows mix Bryce, teammates, opponents, and one-off sports-car co-drivers; avoid unsupported cross-series driver ratings.",productized_context_pack,"Driver identity is now queryable for cohorts, teammate overlap, shared fields, and source-bounded Career Lab filtering."
collection:series,global,global,all,collection,series,source_confidence,canonical_dataset,7,analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/predictive-race-intelligence/output/career_prior_matrix.csv,Career Lab series summaries and parity badges.,No major standalone series-dimension signal beyond routing and source-family labels.,"Use as taxonomy, not as a standalone analytics target.",4.0,source_backed,Series depth is intentionally uneven.,productized_context_pack,No major standalone series-dimension signal beyond routing and source-family labels.
collection:teams,global,global,all,collection,teams,team_teammate_context,canonical_dataset,75,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/team_dimension_context.csv;analysis/career-dimension-context-layer/output/team_era_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json,"Productized as team dimension and team-era rows with car, driver, qualifying, result, and Bryce-observed counts.",Team/era context is now addressable for debrief and Career Lab stories with source-family guards.,Use generated team and team-era context for source-bounded team/teammate storylines.,8.0,source_backed,No engineering setup or root-cause data; keep descriptive.,productized_context_pack,Team/era context is now addressable for debrief and Career Lab stories with source-family guards.
collection:cars,global,global,all,collection,cars,car_context,canonical_dataset,472,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/car_entrant_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json;analysis/imsa-daytona-stint-class-pace/output/imsa_car85_codriver_pace.csv,"Productized as car/entrant context with team, series, season, class, usage rows, and Bryce-observed flags.","Car number, entrant, class, and co-driver/usage context are now addressable across canonical cars.","Use generated car/entrant context for class, entrant, and team-era storytelling without setup attribution.",6.5,source_backed,Car metadata is not setup telemetry.,productized_context_pack,"Car number, entrant, class, and co-driver/usage context are now addressable across canonical cars."
collection:tracks,global,global,all,collection,tracks,track_venue_history,canonical_dataset,42,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/track_venue_context.csv;analysis/career-dimension-context-layer/output/track_archetype_analog_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/predictive-race-intelligence/output/career_prior_matrix.csv;analysis/predictive-race-intelligence/output/context-packs/upcoming-events;analysis/indy-nxt-section-lap-deep-dive/output/context-packs/road-america-prep-context.json,"Productized as track venue context and metadata-based analog rows, including Road America analogs.","Track configuration, corner count, length, weather readiness, repeat venue history, and analogs are now queryable.",Use generated venue/archetype context as prep framing; use specialized lap/section packs for pace detail.,8.0,source_backed_partial_artifacts,Track metadata cannot substitute for telemetry or setup notes.,partially_analyzed_more_value_remaining,Use generated venue/archetype context as prep framing; use specialized lap/section packs for pace detail.
collection:seasons,global,global,all,collection,seasons,championship_progression,canonical_dataset,10,analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/predictive-race-intelligence/output/career_prior_matrix.csv,Career Lab and championship context.,Season summaries are useful but lower value than session/lap grains.,Keep as grouping context and season-era filters.,5.0,source_backed,Season-level aggregates can hide source-family differences.,productized_context_pack,Season summaries are useful but lower value than session/lap grains.
collection:events,global,global,all,collection,events,event_context,canonical_dataset,87,analysis/predictive-race-intelligence/output/context-packs/upcoming-events;analysis/predictive-race-intelligence/output/context-packs/context-pack-manifest.json;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json,Upcoming event and race-debrief context packs.,Event rows are mostly routing; value comes through linked sessions/results/laps.,Use event grain as package identity and weekend grouping.,6.0,source_backed_partial_artifacts,Future schedule rows lack result/lap truth until sessions complete.,partially_analyzed_more_value_remaining,Use event grain as package identity and weekend grouping.
collection:sessions,global,global,all,collection,sessions,session_context,canonical_dataset,483,analysis/predictive-race-intelligence/output/context-packs/race-debriefs;analysis/predictive-race-intelligence/output/context-packs/context-pack-manifest.json,"Prep, debrief, live-readiness, and Career Lab routing.",Session windows and session-type structure still matter for live joins and practice/qualifying context.,Use as a join grain; do not run unsupported hour-level weather joins for date-only sessions.,7.0,source_backed_partial_artifacts,Some exact INDY NXT qualifying windows remain unavailable by source shape.,partially_analyzed_more_value_remaining,Use as a join grain; do not run unsupported hour-level weather joins for date-only sessions.
collection:results,global,global,all,collection,results,result_conversion,canonical_dataset,8494,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/result_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,Full-field result context plus Career Lab result conversion and debrief context packs.,"Every canonical result row is now productized through source-hash validated full-field result context, with Bryce-facing conversion/debrief slices layered on top.",Use result_context.csv as the semantic source for full-field result exploration; keep Career Lab and debrief packs for curated Bryce-facing slices.,8.0,source_backed_partial_artifacts,Raw finish is not comparable across field sizes without percentiles.,partially_analyzed_more_value_remaining,Use result_context.csv as the semantic source for full-field result exploration; keep Career Lab and debrief packs for curated Bryce-facing slices.
collection:qualifyingResults,global,global,all,collection,qualifyingResults,qualifying_conversion,canonical_dataset,1739,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/qualifying_result_context.csv;analysis/career-dimension-context-layer/output/qualifying_session_conversion_summary.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/predictive-race-intelligence/output/indy_nxt_feature_matrix.csv;analysis/predictive-race-intelligence/output/model_scorecard.json,Productized as qualifying-result context and qualifying-session conversion summaries with same-event race-result joins.,"Qualifying rows are now addressable by session format, track type, team era, car, driver, and source-bounded race conversion joins.",Use generated qualifying context for prep/Career Lab conversion analysis with session-format caveats.,8.5,source_backed,Group and combined qualifying formats are not fully equivalent.,productized_context_pack,"Qualifying rows are now addressable by session format, track type, team era, car, driver, and source-bounded race conversion joins."
