collection,rowCount,primaryGrain,metricFamilies,currentAnalyticsArtifacts,currentUiOrContextExposure,utilizationStatus,valueScore,unusedOrUnderusedSignal,proposedAnalysis,confidence,rationale,sourceCaveat
drivers,555,field_context,field_context,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/driver_cohort_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/imsa_car85_codriver_pace.csv,"Productized as driver cohort context with Bryce, teammate-overlap, shared-field, competitor/co-driver, and identity-only labels.",productized_context_pack,7.0,"Driver identity is now queryable for cohorts, teammate overlap, shared fields, and source-bounded Career Lab filtering.",Use generated driver cohort context with denominator badges and no causal driver-strength claims.,source_backed,"Driver identity is now queryable for cohorts, teammate overlap, shared fields, and source-bounded Career Lab filtering.","Driver rows mix Bryce, teammates, opponents, and one-off sports-car co-drivers; avoid unsupported cross-series driver ratings."
series,7,source_confidence,source_confidence,analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/predictive-race-intelligence/output/career_prior_matrix.csv,Career Lab series summaries and parity badges.,productized_context_pack,4.0,No major standalone series-dimension signal beyond routing and source-family labels.,"Use as taxonomy, not as a standalone analytics target.",source_backed,No major standalone series-dimension signal beyond routing and source-family labels.,Series depth is intentionally uneven.
teams,75,team_teammate_context,team_teammate_context,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/team_dimension_context.csv;analysis/career-dimension-context-layer/output/team_era_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json,"Productized as team dimension and team-era rows with car, driver, qualifying, result, and Bryce-observed counts.",productized_context_pack,8.0,Team/era context is now addressable for debrief and Career Lab stories with source-family guards.,Use generated team and team-era context for source-bounded team/teammate storylines.,source_backed,Team/era context is now addressable for debrief and Career Lab stories with source-family guards.,No engineering setup or root-cause data; keep descriptive.
cars,472,car_context,car_context,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/car_entrant_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json;analysis/imsa-daytona-stint-class-pace/output/imsa_car85_codriver_pace.csv,"Productized as car/entrant context with team, series, season, class, usage rows, and Bryce-observed flags.",productized_context_pack,6.5,"Car number, entrant, class, and co-driver/usage context are now addressable across canonical cars.","Use generated car/entrant context for class, entrant, and team-era storytelling without setup attribution.",source_backed,"Car number, entrant, class, and co-driver/usage context are now addressable across canonical cars.",Car metadata is not setup telemetry.
tracks,42,track_venue_history,track_venue_history,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/track_venue_context.csv;analysis/career-dimension-context-layer/output/track_archetype_analog_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/predictive-race-intelligence/output/career_prior_matrix.csv;analysis/predictive-race-intelligence/output/context-packs/upcoming-events;analysis/indy-nxt-section-lap-deep-dive/output/context-packs/road-america-prep-context.json,"Productized as track venue context and metadata-based analog rows, including Road America analogs.",productized_context_pack,8.0,"Track configuration, corner count, length, weather readiness, repeat venue history, and analogs are now queryable.",Use generated venue/archetype context as prep framing; use specialized lap/section packs for pace detail.,source_backed,"Track configuration, corner count, length, weather readiness, repeat venue history, and analogs are now queryable.",Track metadata cannot substitute for telemetry or setup notes.
seasons,10,championship_progression,championship_progression,analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/predictive-race-intelligence/output/career_prior_matrix.csv,Career Lab and championship context.,productized_context_pack,5.0,Season summaries are useful but lower value than session/lap grains.,Keep as grouping context and season-era filters.,source_backed,Season summaries are useful but lower value than session/lap grains.,Season-level aggregates can hide source-family differences.
events,87,event_context,event_context,analysis/predictive-race-intelligence/output/context-packs/upcoming-events;analysis/predictive-race-intelligence/output/context-packs/context-pack-manifest.json;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json,Upcoming event and race-debrief context packs.,productized_context_pack,6.0,Event rows are mostly routing; value comes through linked sessions/results/laps.,Use event grain as package identity and weekend grouping.,source_backed,Event rows are mostly routing; value comes through linked sessions/results/laps.,Future schedule rows lack result/lap truth until sessions complete.
sessions,469,session_context,session_context,analysis/predictive-race-intelligence/output/context-packs/race-debriefs;analysis/predictive-race-intelligence/output/context-packs/context-pack-manifest.json,"Prep, debrief, live-readiness, and Career Lab routing.",productized_context_pack,7.0,Session windows and session-type structure still matter for live joins and practice/qualifying context.,Use as a join grain; do not run unsupported hour-level weather joins for date-only sessions.,source_backed,Session windows and session-type structure still matter for live joins and practice/qualifying context.,Some exact INDY NXT qualifying windows remain unavailable by source shape.
results,8158,result_conversion,result_conversion,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/result_context.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,Full-field result context plus Career Lab result conversion and debrief context packs.,productized_context_pack,8.0,"Every canonical result row is now productized through source-hash validated full-field result context, with Bryce-facing conversion/debrief slices layered on top.",Use result_context.csv as the semantic source for full-field result exploration; keep Career Lab and debrief packs for curated Bryce-facing slices.,source_backed,"Every canonical result row is now productized through source-hash validated full-field result context, with Bryce-facing conversion/debrief slices layered on top.",Raw finish is not comparable across field sizes without percentiles.
qualifyingResults,1547,qualifying_conversion,qualifying_conversion,analysis/career-dimension-context-layer/output/context-packs/career-dimension-context.json;analysis/career-dimension-context-layer/output/summary.json;analysis/career-dimension-context-layer/output/qualifying_result_context.csv;analysis/career-dimension-context-layer/output/qualifying_session_conversion_summary.csv;analysis/career-dimension-context-layer/output/CAREER_DIMENSION_CONTEXT_LAYER.md;analysis/predictive-race-intelligence/output/indy_nxt_feature_matrix.csv;analysis/predictive-race-intelligence/output/model_scorecard.json,Productized as qualifying-result context and qualifying-session conversion summaries with same-event race-result joins.,productized_context_pack,8.5,"Qualifying rows are now addressable by session format, track type, team era, car, driver, and source-bounded race conversion joins.",Use generated qualifying context for prep/Career Lab conversion analysis with session-format caveats.,source_backed,"Qualifying rows are now addressable by session format, track type, team era, car, driver, and source-bounded race conversion joins.",Group and combined qualifying formats are not fully equivalent.
lapSamples,67686,lap_shape,lap_shape,analysis/predictive-race-intelligence/output/context-packs/race-debriefs;analysis/indy-nxt-race-lap-section-enhancement/output/context-packs/indy-nxt-race-lap-section-context.json;analysis/indy-nxt-race-lap-section-enhancement/output/INDY_NXT_RACE_LAP_SECTION_ENHANCEMENT.md;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json;analysis/imsa-daytona-stint-class-pace/output/IMSA_DAYTONA_STINT_CLASS_PACE.md;analysis/formula-ford-lap-shape/output/context-packs/formula-ford-lap-shape-context.json;analysis/formula-ford-lap-shape/output/FORMULA_FORD_LAP_SHAPE.md,"INDY NXT race lap microstates/segments, IMSA Daytona stint/class pace, and Formula Ford Bryce-only lap shape are productized.",productized_context_pack,10.0,"No canonical lapSample source family remains unproductized; future value is through joins to context, incidents, qualifying, and track analogs.",Use generated lap context packs with source-shape labels; keep cross-series displays separated by source grain.,source_backed,"No canonical lapSample source family remains unproductized; future value is through joins to context, incidents, qualifying, and track analogs.","Lap sample grain differs by source: IMSA time cards, INDY NXT race lap charts, and Formula Ford Bryce-only lap-analysis blocks are not interchangeable."
racecraftEvents,35,racecraft_context,racecraft_context,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/session_context_rollups.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,"Productized in the context-event timeline, session rollups, and context pack, plus existing debrief/source drawer tables.",productized_context_pack,7.5,Racecraft rows are now addressable as source-bounded context facts; remaining value comes from UI storytelling and lap/context joins.,Use the generated context-event pack for momentum/recovery narratives without unsupported overtake reconstruction.,source_backed,Racecraft rows are now addressable as source-bounded context facts; remaining value comes from UI storytelling and lap/context joins.,Not a full pass-by-pass telemetry feed.
penalties,82,incident_penalty_context,incident_penalty_context,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/session_context_rollups.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,"Productized as penalty rows in the context-event timeline and session rollups, with debrief/source drawer support.",productized_context_pack,7.0,"Penalty type, lap, and position/time impact are now productized; downstream displays should keep no-row/source-coverage caveats visible.",Use generated context rows for debrief/event timelines and join to lap-shape deltas only where lap numbers exist.,source_backed,"Penalty type, lap, and position/time impact are now productized; downstream displays should keep no-row/source-coverage caveats visible.",Penalty ledgers are uneven by series; absence is not proof of clean session unless source exposes no-penalty decisions.
incidents,132,incident_penalty_context,incident_penalty_context,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/session_context_rollups.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/race-debriefs,"Productized as incident rows in the context-event timeline and session rollups, with debrief/source drawer support.",productized_context_pack,7.5,Caution/contact/mechanical context is now productized; remaining value is presentation and source-backed lap-position joins.,Use generated context rows for session storylines and only join to lap-position swings when both sources support it.,source_backed,Caution/contact/mechanical context is now productized; remaining value is presentation and source-backed lap-position joins.,"Incident rows are official summary/context, not video-confirmed root cause."
weatherObservations,181,weather_context,weather_context,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/weather_condition_context.csv;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json;analysis/imsa-daytona-stint-class-pace/output/context-packs/imsa-daytona-stint-class-context.json,"Productized as weather/condition context rows with source, time, location, and join-confidence fields preserved.",productized_context_pack,7.0,"Weather rows are now queryable by series/session/source family; future value is visual comparison, not additional backend extraction.",Use generated condition context with explicit source-confidence labels and avoid causal weather effects unless a later model validates them.,source_backed,"Weather rows are now queryable by series/session/source family; future value is visual comparison, not additional backend extraction.",INDY NXT has no official weather observations; non-official ambient weather needs labels.
mediaAssets,940,narrative_context,narrative_context,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/media_narrative_index.csv;analysis/context-event-narrative-layer/output/context_event_timeline.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/context-packs/career-lab-context.json,Productized as a media narrative index and event/session context timeline with rights-status fields preserved.,productized_context_pack,6.5,Media rows are now source-indexed for narrative and source-drawer use; UI must still apply rights-status display rules.,"Use generated media index for storylines, source drawers, and milestone context while respecting rightsStatus.",source_backed,Media rows are now source-indexed for narrative and source-drawer use; UI must still apply rights-status display rules.,"Narrative evidence should support, not override, official result data."
derivedMetrics,370,section_pace,section_pace,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/derived_metric_context.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md;analysis/predictive-race-intelligence/output/indy_nxt_feature_matrix.csv;analysis/indy-nxt-section-lap-deep-dive/output/context-packs/indy-nxt-section-lap-context.json;analysis/indy-nxt-section-lap-deep-dive/output/INDY_NXT_SECTION_LAP_DEEP_DIVE.md;analysis/indy-nxt-race-lap-section-enhancement/output/context-packs/indy-nxt-race-lap-section-context.json;analysis/indy-nxt-race-lap-section-enhancement/output/INDY_NXT_RACE_LAP_SECTION_ENHANCEMENT.md,Productized through section-lap/race-section context packs and a full derived metric context index covering the 370 derivedMetric rows represented by this audit row.,productized_context_pack,10.0,All canonical derivedMetric rows are now addressable; deeper interpretation remains in the specialized section/race-lap lanes.,Route UI and analytics queries through generated context packs and specialized deep-dive artifacts rather than raw derivedMetric blobs.,source_backed,All canonical derivedMetric rows are now addressable; deeper interpretation remains in the specialized section/race-lap lanes.,One INDY NXT Section Results holdout is source-corrupt; sparse denominators need suppression or badges.
sourceEvidence,1199,source_confidence,source_confidence,analysis/context-event-narrative-layer/output/context-packs/context-event-narrative-context.json;analysis/context-event-narrative-layer/output/summary.json;analysis/context-event-narrative-layer/output/source_evidence_lineage.csv;analysis/context-event-narrative-layer/output/CONTEXT_EVENT_NARRATIVE_LAYER.md,"Productized as source-evidence lineage with source type, confidence tier, parser, raw-artifact, and license fields.",productized_context_pack,6.0,Source-family quality is now queryable; remaining value is visual/source-ops presentation.,"Use generated source lineage for confidence badges, source drawers, and review routing.",source_backed,Source-family quality is now queryable; remaining value is visual/source-ops presentation.,"Source evidence is provenance metadata, not performance signal by itself."
